Province, Value
Newfoundland and Labrador,13%
Prince Edward Island,14%
Nova Scotia,18%
New Brunswick,15%
Ontario,15%
Manitoba,17%
Saskatchewan,15%
Alberta,11%
British Columbia,15%
Yukon,16%
